"CERSID","BusinessName","SiteAddress","City","ZipCode","NAICSCode","SICCode","ChemicalName","CommonName","CASNumber","AverageDailyAmount","MaximumDailyAmount","ChemicalLocation","EHS","PFCodeHazardClass","SFCodeHazardClass","TFCodeHazardClass","FFCodeHazardClass","FifthFireCodeHazardClass","SixthFireCodeHazardClass","SeventhFireCodeHazardClass","EighthFireCodeHazardClass","isMixture","HMType","MixtureComponentNumber","RadioActive","Curies","Unit","PhysicalState","LargestContainer","FHCFire","FHCReactive","FHCPressureRelease","FHCAcuteHealth","FHCChronicHealth","AnnualWasteAmount","StateWasteCode","DaysOnSite","SCAboveGroundTank","SCUnderGroundTank","SCTankInsideBuilding","SCSteelDrum","SCPlasticNonMetallicDrum","SCCan","SCCarboy","SCSilo","SCFiberDrum","SCBag","SCBox","SCCylinder","SCGlassBottle","SCPlasticBottle","SCToteBin","SCTankTruckTankWagon","SCTankCarRailCar","SCOther","OtherStorageContainer","StoragePressure","StorageTemperature","HC1PercentByWeight","HC1Name","HC1EHS","HC1CAS","HC2PercentByWeight","HC2Name","HC2EHS","HC2CAS","HC3PercentByWeight","HC3Name","HC3EHS","HC3CAS","HC4PercentByWeight","HC4Name","HC4EHS","HC4CAS","HC5PercentByWeight","HC5Name","HC5EHS","HC5CAS","ChemicalDescriptionComment","AdditionalMixtureComponents","CCLID","USEPASRSNumber","DOTHazClassID","KEEP"
"10153067","FOAMEX INNOVATIONS OPERATING CO","2060 N Batavia St","Orange","92865","32615","3086","Organic Mixture","GL-5000  (Gel Blue Beads)","66070-58-4","5","5000","NULL","N","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","pounds","Solid","5000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10609672","Minimatics, Inc./Rimnetics","3141 Swetzer Rd","Loomis","95650","32619","3089","Waste Absorbent/oiled rags","Waste Absorbent/oiled rags","NULL","15","110","NULL","N","9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","Waste","NULL","NULL","NULL","pounds","Solid","55","NULL","NULL","NULL","NULL","NULL","15","223","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4.1","INCLUDE"
"10412353","Storer Transportation Service","13033 Sanguinetti Rd","Sonora","95370","32620","4111","Ethylene Glycol","Waste Ethylene Glycol","107-21-1","55","55","NULL","N","31","13","NULL","NULL","NULL","NULL","NULL","NULL","No","Waste","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","NULL","221","NULL","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","95","Ethylene Glycol","N","various","NULL","Diethylene Glycol","N","various","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10353979","Storer Transportation Service","560 E GISH RD","SAN JOSE","95112","32620","4111","Sulfuric Acid","Lead Acid Batteries","NULL","80","80","NULL","N","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","pounds","Liquid","NULL","NULL","NULL","NULL","NULL","NULL","NULL","792","365","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Sealed self container","Ambient","Ambient","40","Sulfuric Acid","Y","7664-93-9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8","INCLUDE"
"10178261","Storer Transportation Service","3519 McDonald Ave","Modesto","95358","32620","4111","Oxygen","Oxygen Compressed","7782-44-7","141","282","NULL","N","6","22","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","cubic feet","Gas","282","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NULL","Above Ambient","Ambient","NULL","Oxygen","N","7782-44-7","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","NULL","NULL","2.2","INCLUDE"
"10178743","Storer Transportation Service","1216 Doker","Modesto","95351","32620","4111","Petroleum Hydrocarbon","MOTOR OIL","CCL-107881","165","330","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","110","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","Y","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2xtank and 2x55 gal barrel","Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3","INCLUDE"
"10184199","Storer Transportation Service","1909 S ARGONAUT ST","STOCKTON","95206","32620","4111","TRANSMISSION FLUID","Transmission Fluid","NULL","55","55","NULL","N","31","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","Unknown","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL",NA,"N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10228006","Storer Transportation Service","140 ENTERPRISE CT STE B","GALT","95632","32620","4111","Waste Oil","Waste Motor Oil Mix Pertroleum","64742650","55","240","NULL","N","31","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","Waste","NULL","NULL","NULL","gallons","Liquid","240","NULL","NULL","NULL","NULL","NULL","150","221","365","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","85","Various Lubricating Base Olils","N","6474X-XX-X","15","ADDITIVE PACKAGE,iNCLUDING","N","MIXTURE","2","ZINC ALKYLDITHIOPHOSPHATE","N","68649-42-3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3","INCLUDE"
"10419118","RERUBBER","115 N Del Rosa Dr","San Bernardino","92408","32699","3069","Zinc","Zinc, zinc flake, zinc dust","7440-66-6","50","3000","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","pounds","Solid","500","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","150235","NULL","INCLUDE"
"10246231","S & W DIESEL","336 N LAKME AVE","WILMINGTON","90744","32710","3519","N/A","USED MOTOR OIL","221","5","5","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","Waste","NULL","NULL","0","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","275","NULL","365","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","NULL","Ambient","Ambient","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10410790","PABCO CLAY PRODUCTS, LLC","601 7th St","Lincoln","95648","32712","1459","Acetic Acid Methyl Ester","Acetic Acid Methyl Ester","79-20-9","55","100","NULL","N","10","32","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","55","214","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","100","Methyl Acetone ","Y","79-20-9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3958","NULL","3","INCLUDE"
"10635259","Mission Ready Mix","1230 Mission Dr","Solvang","93463","32732","3273","Urea","Diesel Exhaust Fluid","57-13-6","80","105","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","NULL","Ambient","Ambient","40","Urea","N","57-13-6","60","Water","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2451","NULL","INCLUDE"
"10401028","Central Concrete Supply Inc.","450 Amador St","San Francisco","94124","32732","3273","V-MAR VSC500","V-MAR VSC500","NULL","NULL","165","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10405000","Sierra Pacific Ready Mix Services dba: Allied Concrete Redy Mix","3211 Wood Street","Oakland","94608","32732","3273","Shell 10-40wt oil","Motor Oil","mixture","75","110","NULL","N","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","300","NULL","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","85","VARIOUS LUBRICATING BASE OILS","N","6474X-XX-X","15","ADDITIVE PACKAGE, INCLUDING","N","MIXTURE","2","ZINC ALKYLDITHIOPHOSPHATE","N","68649-42-3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3","INCLUDE"
"10411606","Central Concrete Supply Inc.","2400 Peralta St","Oakland","94607","32732","3273","RHEOMAC VMA 362","VMA 362","NULL","675","1500","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","1500","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","1.5","Ethylene Glycol","N","107-21-1","1","[1-1'-Byphenyl]-2-ol","N","90-43-7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10411612","Central Concrete Supply Inc.","889 Stockton Ave","San Jose","95110","32732","3273","POZZOLITH 322N (replaces 200N)","Pozz 322N","","500","1050","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","1050","NULL","NULL","NULL","NULL","NULL","NULL","","365","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","","Ambient","Ambient","5","Nitrilotriethanol","N","102-71-6","1","Iminodiethanol","N","111-42-2","1","Biphenyl","N","90-43-7","NULL",""," ","","NULL",""," ","","","","NULL","","NULL","INCLUDE"
"10449340","Castle & King Rock","105 Aegean Way","Vacaville","95687","32732","3273","Cement, portland, chemicals","Cement, portland, chemicals","65997-15-1","25","1000","NULL","N","14","39","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","pounds","Solid","25","NULL","NULL","NULL","NULL","NULL","0","NULL","365","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","351817","NULL","INCLUDE"
"10353076","Central Concrete Supply Inc.","457 Queens Lane","San Jose","95112","32732","3273","MasterLife 300D","MasterLife 300D","NULL","12","1800","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","pounds","Solid","12","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","75","Cement, portland, chemicals ","N","65997-15-1 ","50","crystalline silica ","NULL","14808-60-7 ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10354480","Central Concrete Supply Inc.","610 MCKENDRIE ST","SAN JOSE","95110","32732","3273","PETROLEUM CONTAMINATE","DRY SWEEP PETROLEUM CONTAMINATE","NULL","20","55","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","pounds","Solid","55","NULL","NULL","NULL","NULL","NULL","150","221","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Above Ambient","Above Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10355737","Central Concrete Supply Inc.","790 Stockton Ave","San Jose","95126","32732","3273","MasterPozzolith 322","MasterPozzolith 322","NULL","1100","1500","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","1500","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","5","Nitrilotriethanol","N","102-71-6","1","Iminodiethanol","N","111-42-2","1","Biphenyl","N","90-43-7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10188593","Central Concrete Supply Inc.","1645 Stanley Blvd","Pleasanton","94566","32732","3273","DIESEL FUEL","DIESEL FUEL","68334-30-5","4500","10000","NULL","N","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","gallons","Liquid","10000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3","INCLUDE"
"10205536","A & A CONCRETE SUPPLY","2930 LESVOS CT","LINCOLN","95648","32732","3273","VARIOUS LUBRICATING BASE OILS,ADDITIVE PACKAGE, INCLUDINGZINC ALKYLDITHIOPHOSPHATE,","Waste Oil","NULL","30","600","NULL","N","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","Waste","NULL","NULL","NULL","gallons","Liquid","600","NULL","NULL","NULL","NULL","NULL","15","221","365","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","85","VARIOUS LUBRICATING BASE OILS","N","6474X-XX-X","15","ADDITIVE PACKAGE, INCLUDING","N","MIXTURE","2","ZINC ALKYLDITHIOPHOSPHATE","N","68649-42-3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3","INCLUDE"
"10232920","CODE PRECAST PRODUCTS INC","1050 E LOS ANGELES AVE","SHAFTER","93263","32739","4034","Non-rcra Hazardous Waste Liquid (waste Oil)","WASTE OIL",NA,"55","110","NULL","N","4","2","NULL","NULL","NULL","NULL","NULL","NULL","No","Waste","NULL","NULL","0","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","442","221","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","Waste Petroleum Hydrocarbons","N","Mixture","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","NULL","NULL","3","INCLUDE"
"10545436","Omega Products International, Inc.","1681 California Ave ","Corona","92881","32799","3272","NULL","CTS Eisenwall","NULL","120000","140000","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","pounds","Solid","3000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","NULL","Ambient","Ambient","99","Calcium Sulfoaluminate","N","960375-09-1","0.5","Smectite Clay","N","12199-37-0","0.1","Silica ( Quartz)  Crystalline","N","14808-60-7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10511365","A&A Plating Co","796 Palmyrita Ave Unit B-C","Riverside","92507","32813","3471","Isoprep 58 LT ","Alkaline Cleaner ","1310-73-2","500","500","NULL","N","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","pounds","Solid","500","NULL","NULL","NULL","NULL","NULL","100","122","365","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Cardboard drum","Ambient","Ambient","30","sodium Hydroxide","NULL","1310-73-2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CAR000224881","8","INCLUDE"
"10500478","The Battery","717 Battery St","San Francisco","94111","32897","NULL","1,2-propanediol","1,2-propanediol","57-55-6","NULL","20","NULL","N","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","gallons","Liquid","5","NULL","NULL","NULL","NULL","NULL","69","291","365","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","Latex coat","NULL","57-55-6","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2723","2584","3","INCLUDE"
"10618801","WALLBOARD TOOLS CO INC","1697 Seabright Ave","Long Beach","90813","33221","3423","Argon, mixt. with carbon dioxide","CO2 - Argon","70343-43-0","600","1335","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","cubic feet","Gas","365","NULL","NULL","NULL","NULL","NULL","0","NULL","NULL","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NULL","Above Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","17163148","2.2","INCLUDE"
"10210645","NEAL FEAY COMPANY","133 S LA PATERA Ln","GOLETA","93117","33232","3499","2-Propanol, 1-propoxy-","Alodine 5200","1569-01-3","55","55","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","0","NULL","360","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","10","2-Propanol, 1-propoxy-","NULL","1569-01-3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Alodine 5200","water","NULL","88740","8","INCLUDE"
"10304173","RITE ENGINEERING & MFG CORP","5832 S GARFIELD AVE","COMMERCE","90040","33241","3443","Butyl Acetate","V66V280 Polyurethane Catalyst","123-86-4","25","25","NULL","N","10","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","1","NULL","NULL","NULL","NULL","NULL","0","","365","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","","Ambient","Ambient","15","n butyl acetate"," ","123-86-4","NULL",""," ","","NULL",""," ","","NULL",""," ","","NULL",""," ","","","","NULL","","3","INCLUDE"
"10517311","MAGNA TOOL INC","5594 MARKET PL","CYPRESS","90630","33271","3599","Solvent-refined light napthenic distillate","Soluble Oil 4360","64741-96-4","0.75","75","NULL","N","9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","2","2-Phenylphenol","N","90-43-7","80","Petroleum","N","64741-96-4","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","Chemical Name CAS Number % in Product","","","","","INCLUDE"
"10604626","POPLAR GRINDING COMPANY INC","1820 THUNDERBOLT DR","PORTERVILLE","93257","33271","3327","Grinding Sludge Waste","Grinding Sludge Waste","NULL","0.15","55","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","Waste","NULL","NULL","NULL","gallons","Solid","55","NULL","NULL","NULL","NULL","NULL","55","172","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","ANTIMONY 159 MG/KG","N","7440-36-0","NULL","BARIUM 12MG/KG","N","7440-39-3","NULL","NICKEL 25300 MG/KG","N","7440-02-0","NULL","SILVER 9.6 MG/KG","N","7440-22-4","NULL","CHROMIUM 48700 MG/KG","N","7440-47-3","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10629154","Rand Machine Works","1955 S Mary St","Fresno","93721","33271","3599","Acetylene","Acetylene","74-86-2","200","400","NULL","N","8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","cubic feet","Gas","400","NULL","NULL","NULL","NULL","NULL","0","","365"," "," "," "," "," "," "," "," "," "," "," ","Y"," "," "," "," "," "," ","","Above Ambient","Ambient","NULL","","N","","NULL","","N","","NULL","","N","","NULL","","N","","NULL","","N","","","","NULL","","2.1","INCLUDE"
"10654435","HAIG PRECISION MFG CORP","3616 Snell Ave","San Jose","95136","33271","3599","Tri-Mix","HE/AR/CO2","NULL","352","3168","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","cubic feet","Gas","352","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NULL","Above Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10389763","J.I. MACHINE COMPANY INC","9720 Distribution Ave","San Diego","92121","33271","3599","BLASER BLASOCUT/TECH COOL 35052","MACHINING COOLANT","NULL","55","165","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","60","hydro treated mineral oil","N","64742-52-5","20","emulsifier anionic","N","68309-13-7","10","sodium petroleum sulphonates","N","68608-26-4","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","INCLUDE"
"10396372","Nor-Cal Products Inc.","1967 S Oregon St","Yreka","96097","33271","3499","Argon","Argon Welding Gas","07440-37-1","2500","5000","NULL","N","31","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","cubic feet","Gas","496","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NULL","Above Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Bldg 1 S. Oregon Street: 062-031-220-000 Bldg 2 4H Way: 062-031-280-000","NULL","NULL","NULL","2.2","INCLUDE"
"10420600","Mitchell Grinding Corp. of CA  DBA: Malbert & Mitchell Grinding Corp.","901 S Cypress St","La Habra","90631","33271","3599","Oil, n.o.s.","TK 200 HD Petroleum Oil","64742-52-5","0","110","NULL","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes","Mixture","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","NULL","223","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","70","Hydrotreated heavy naphthenic distillate","N","64742-52-5","1","Chlorniated paraffins","N","63449-39-8","1","Oiefin sulfide","N","Confidential","1","Lard oil","N","8016-28-2","NULL","NULL","NULL","NULL","TK 200 HD","NULL","NULL","NULL","NULL","INCLUDE"
"10447522","Freiling Machining, Inc.","201 Jason Ct Ste 101","Corona","92879","33271","NULL","Acetylene","Acetylene","74-86-2","60","60","NULL","N","33","8","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","cubic feet","Gas","60","NULL","NULL","NULL","NULL","NULL","0","NULL","365","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","NULL","Above Ambient","Ambient","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2585","NULL","2.1","INCLUDE"
"10311106","YILLIK PRECISION CARBIDE","1621 S CUCAMONGA AVE","ONTARIO","91761","33271","3999","NULL","Waste Oil","NULL","15","55","NULL","N","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","Waste","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","55","221","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","85","VARIOUS LUBRICATING BASE OILS","N","6474X-XX-X","15","ADDITIVE PACKAGE, INCLUDING","N","MIXTURE","2","ZINC ALKYLDITHIOPHOSPHATE","N","68649-42-3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3","INCLUDE"
"10378612","WESTERN CNC INC","1001 PARK CENTER DR","VISTA","92081","33271","3599","ACETONE","ACETONE","67-64-1","165","220","NULL","N","10","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No","pure","NULL","NULL","NULL","gallons","Liquid","55","NULL","NULL","NULL","NULL","NULL","NULL","NULL","365","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NULL","Ambient","Ambient","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","N","NULL","NULL","NULL","NULL","NULL","3","INCLUDE"
